player_id,total_matches,win_rate,avg_skill_diff,early_matches,early_win_rate,churn
1,3,0.6666666666666666,1135.027411281384,3.0,0.6666666666666666,1
2,5,0.6,1262.814996304921,3.0,0.6666666666666666,1
3,7,0.8571428571428571,1196.1265030219868,1.0,1.0,1
4,1,0.0,1405.3604737873811,1.0,0.0,1
5,8,0.625,1327.8607766738191,3.0,1.0,1
6,5,0.2,687.4686099770001,3.0,0.3333333333333333,1
7,4,0.0,810.5141909878647,2.0,0.0,1
8,2,0.5,1007.3935041098216,2.0,0.5,1
9,3,0.3333333333333333,1141.518364394924,2.0,0.0,1
10,16,0.125,720.204982263358,1.0,1.0,0
12,5,0.4,743.2272235986859,1.0,1.0,1
13,2,0.5,1124.2693479938205,2.0,0.5,1
14,3,0.6666666666666666,897.7155040043158,3.0,0.6666666666666666,1
16,1,0.0,544.4874786301831,1.0,0.0,1
17,1,0.0,860.9021421805184,1.0,0.0,1
18,2,0.0,1026.2110399454805,2.0,0.0,1
19,1,0.0,1195.509040370863,1.0,0.0,1
20,4,0.25,749.9948934431902,2.0,0.5,1
21,10,0.9,1383.4518296852243,3.0,1.0,1
22,3,0.6666666666666666,1198.880008417716,3.0,0.6666666666666666,1
24,10,0.7,1017.8790557863227,2.0,1.0,1
25,1,0.0,1176.607355706176,1.0,0.0,1
26,3,0.0,836.2613151547718,3.0,0.0,1
27,7,0.8571428571428571,1002.186602648638,3.0,0.6666666666666666,1
29,1,0.0,807.7219648211388,1.0,0.0,1
30,1,0.0,931.4945923425212,1.0,0.0,1
31,10,0.5,1011.4702539959364,1.0,1.0,0
33,15,0.7333333333333333,1121.4543230815398,3.0,1.0,0
34,4,0.75,1120.1466030291183,2.0,0.5,1
35,2,0.5,1011.9826474182522,2.0,0.5,1
36,6,0.3333333333333333,971.424355441742,4.0,0.25,1
37,2,0.0,825.7974673772574,2.0,0.0,1
38,10,0.9,1385.5625994877144,3.0,1.0,0
39,2,0.0,718.2898785333539,2.0,0.0,1
40,3,1.0,1266.845838834538,3.0,1.0,1
41,6,0.8333333333333334,1169.2236938591868,1.0,1.0,1
42,1,0.0,793.076268178551,1.0,0.0,1
43,14,0.7857142857142857,1056.238403582055,2.0,1.0,1
44,2,0.5,1075.3075958493573,2.0,0.5,1
45,11,1.0,1297.09547385451,3.0,1.0,1
46,8,0.625,1010.8931089660376,2.0,1.0,0
48,3,0.0,948.412059229654,3.0,0.0,1
49,3,0.3333333333333333,922.310834079533,2.0,0.5,1
